date,home,away,FTR,home_score,away_score,h_fouls,h_yellow_cards,h_red_cards,h_off_sides,h_corners,h_saves,a_fouls,a_yellow_cards,a_red_cards,a_off_sides,a_corners,a_saves
mircoles 23 agosto,Necaxa,Cruz Azul,D,1,1,9,0,0,2,3,4,12,2,0,0,7,3
viernes 31 marzo,Toluca,Necaxa,H,2,0,14,2,0,2,6,3,19,1,0,2,6,2
viernes 31 marzo,Santos,Quertaro,H,1,0,11,1,0,2,12,0,9,2,0,2,2,4
jueves 25 mayo,U.A.N.L,Guadalajara,D,2,2,13,1,0,0,3,3,14,2,0,1,4,8
domingo 28 mayo,Guadalajara,U.A.N.L,H,2,1,19,2,0,0,1,2,14,5,0,1,7,4
viernes 17 febrero,Veracruz,U.A.N.L,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0
sbado 13 mayo,Monterrey,U.A.N.L,A,0,2,27,7,0,3,8,0,6,3,0,0,5,5
sbado 13 mayo,Toluca,Santos,A,1,3,14,2,0,1,2,9,15,2,0,0,11,2
sbado 19 agosto,Cruz Azul,Atlas,H,2,1,18,3,1,2,1,3,13,2,1,5,1,3
sbado 19 agosto,Leon,Amrica,A,2,3,0,0,0,0,0,0,0,0,0,0,0,0
sbado 19 agosto,U.A.N.L,Pumas UNAM,H,2,0,14,1,0,0,6,0,13,2,0,3,0,9
sbado 19 agosto,Veracruz,Quertaro,D,1,1,11,1,0,1,3,1,15,4,0,0,7,6
sbado 19 agosto,Len,Monterrey,A,1,2,11,1,0,4,4,4,15,1,0,0,7,4
sbado 19 agosto,Guadalajara,Puebla,A,0,1,7,2,1,2,11,3,11,3,0,3,0,1
mircoles 12 abril,Quertaro,Tijuana,A,0,1,11,1,0,1,8,2,11,1,1,3,5,2
mircoles 12 abril,Santos,Monterrey,D,2,2,11,2,0,4,6,2,13,2,0,3,7,2
mircoles 12 abril,Amrica,Necaxa,H,1,0,16,3,0,1,6,2,16,4,0,1,2,2
mircoles 12 abril,Pachuca,Morelia,D,0,0,13,1,0,3,8,1,14,2,0,1,5,8
mircoles 12 abril,Atlas,Pumas UNAM,D,1,1,8,0,0,5,9,5,10,1,0,0,5,9
domingo 23 abril,Pumas UNAM,Veracruz,A,0,2,14,1,2,1,3,2,13,0,0,5,7,0
domingo 23 abril,Santos,Amrica,H,2,1,14,1,0,0,11,1,14,3,0,0,4,4
domingo 19 febrero,Pumas UNAM,Tijuana,D,3,3,10,2,0,2,7,0,18,1,0,4,5,5
domingo 19 febrero,Puebla,Chiapas,H,3,0,0,0,0,0,0,0,0,0,0,0,0,0
jueves 13 abril,Toluca,Cruz Azul,A,0,2,17,1,0,3,4,5,15,4,0,2,6,2
domingo 14 mayo,Guadalajara,Atlas,H,1,0,9,1,0,3,7,5,11,2,0,1,6,3
domingo 14 mayo,Tijuana,Morelia,H,2,0,14,2,0,2,9,2,17,1,0,0,6,1
domingo 21 mayo,Guadalajara,Toluca,D,1,1,13,2,0,3,3,3,21,4,0,2,1,3
domingo 21 mayo,Tijuana,U.A.N.L,A,0,2,17,2,1,3,10,1,8,2,0,2,5,5
sbado 29 julio,Cruz Azul,Guadalajara,D,1,1,19,3,1,3,3,3,12,1,1,5,7,0
sbado 29 julio,Quertaro,Leon,A,0,4,12,2,0,4,6,3,17,3,0,1,2,5
sbado 29 julio,Monterrey,Veracruz,H,1,0,10,1,1,3,3,0,11,3,0,1,4,5
sbado 29 julio,Pachuca,Amrica,A,0,2,13,5,0,0,6,1,15,3,1,1,1,2
sbado 29 julio,Necaxa,Tijuana,H,1,0,7,1,1,2,6,3,20,2,1,1,5,1
viernes 10 febrero,Tijuana,Necaxa,A,1,2,12,2,0,3,7,0,11,0,0,1,1,6
